sektor,kelurahan,kecamatan,wilayah_kota,alamat,latitude,longitude,Keterangan
V,Lebak Bulus,Cilandak,Jakarta Selatan,"Dekat Rumah Sakit Siloam, Jl. RA. Kartini",-6.292004,106.784695,
V,Lebak Bulus,Cilandak,Jakarta Selatan,"Depan Auto 2000, Jl. RA. Kartini",-6.292456,106.789254,
V,Lebak Bulus,Cilandak,Jakarta Selatan,"Jl. RA. Kartini Hook, Jl. Adyaksa",-6.291153,106.780568,
V,Lebak Bulus,Cilandak,Jakarta Selatan,"Depan PTIQ, Jl. Batan",-6.290851,106.770928,
VI,Menteng Dalam,Tebet,Jakarta Selatan,"Dekat Jl. Rasamala III/IV, Jl. Rasamala",-6.234541,106.839695,
VI,Menteng Dalam,Tebet,Jakarta Selatan,"Dekat Fly Over, Jl. Saharjo, Jl. Pal Batu",-6.224287,106.847333,
VI,Menteng Dalam,Tebet,Jakarta Selatan,"Depan Pos Pemadam Kebakaran Tebet, Jl. Prof. Supomo",-6.240059,106.84535,
VI,Menteng Dalam,Tebet,Jakarta Selatan,"Warung Pedok, Jl. DR. Sahardjo ",-6.226179,106.847385,
VI,Menteng Dalam ,Tebet,Jakarta Selatan,"Depan Ex. SPBU n All Fresh, Jl. Jend. Gatot Subroto",-6.241623,106.838749,
VI,Tebet Barat,Tebet,Jakarta Selatan,"Dekat Ruko No. 18, Dulu Gaya Ban, Jl. Tebet Raya",-6.229604,106.853181, As Dol
VI,Tebet Barat,Tebet,Jakarta Selatan,"Depan Rusun Harum, Jl. Tebet Barat Raya",-6.235528,106.852432,
VI,Tebet Barat,Tebet,Jakarta Selatan,"Dekat Apotek Amani, Jl. Lapangan Ros",-6.225174,106.855376,
VI,Tebet Barat ,Tebet,Jakarta Selatan,"Jl. DR. Sahardjo, Gg. Manggis II",-6.219029,106.845417,
VI,Tebet Timur,Tebet,Jakarta Selatan,"Depan Ruko, Jl. Tebet Raya",-6.227644,106.856926,
VI,Tebet Timur,Tebet,Jakarta Selatan,"Depan Rumah No. 107, Jl. Tebet Timur Dalam",-6.236874,106.856921, As Dol
VI,Tebet Timur,Tebet,Jakarta Selatan,"Dekat Klinik Pasutri, Jl. Tebet Timur Dalam",-6.237209,106.856883,
VI,Tebet Timur,Tebet,Jakarta Selatan,"Depan Pasar PSPT, Jl. Tebet Timur Dalam",-6.234904,106.856922,
VI,Bukit Duri,Tebet,Jakarta Selatan,"Depan Masjid Attahiriyah, Jl. KH. Safei",-6.224506,106.859851,
VI,Bukit Duri,Tebet,Jakarta Selatan,"Depan PDAM Dekat Rel Kereta, Jl. Bukit Duri Tanjakan",-6.218216,106.859569,Hidran Macet
VI,Bukit Duri,Tebet,Jakarta Selatan,"Depan Asrama Ciliwung, Jl. Bukit Duri",-6.217333,106.862299,
VI,Bukit Duri,Tebet,Jakarta Selatan,"Depan Rumah No. 3, Jl. Kampung Melayu Kecil",-6.222174,106.861547,
VI,Bukit Duri,Tebet,Jakarta Selatan,"Depan Pasar Bukit Duri, Jl. Bukit Duri Barat",-6.218065,106.853725,Hidran Goyang
VI,Bukit Duri,Tebet,Jakarta Selatan,"Depan Indomaret, Jl. Bukit Duri Tanjakan Ujung",-6.222819,106.859062,
VI,Kebon Baru,Tebet,Jakarta Selatan,"Depan Masjid, Jl. Asem Baris",-6.241496,106.860175,
VI,Kebon Baru,Tebet,Jakarta Selatan,"Dekat Kantor Lurah Kebon Baru, Jl. Asem Baris",-6.232327,106.8597,
VI,Kebon Baru,Tebet,Jakarta Selatan,"Jl. KH. Safei Pojok, Jl. Gd. Peluru",-6.225295,106.862096,
VI,Kebon Baru,Tebet,Jakarta Selatan,"Depan Alfamidi, Jl. Asem Baris Raya",-6.22854,106.858977,
VI,Kebon Baru,Tebet,Jakarta Selatan,"Depan Rumah No. 5A, Jl. Asem Baris Raya",-6.231426,106.859513,
VI,Manggarai Selatan,Tebet,Jakarta Selatan,"Sebrang Indomaret, Jl. DR Sahardjo",-6.216119,106.843995,
VI,Manggarai Selatan,Tebet,Jakarta Selatan,"Dekat Jembatan, Jl. Manggarai Selatan VII",-6.215125,106.855942,As Macet
VI,Manggarai Selatan,Tebet,Jakarta Selatan,"Depan Telkom, Jl. KH. Abdulah Safei",-6.224445,106.852861,
VI,Manggarai Selatan,Tebet,Jakarta Selatan,"Depan RS. Agung, Jl. Sultan Agung",-6.208937,106.846413,Hidran Macet
VI,Manggarai Selatan,Tebet,Jakarta Selatan,"Dekat Apotek Barkah, Jl. Albarkah",-6.220321,106.847183,Hidran Macet
VI,Manggarai Selatan,Tebet,Jakarta Selatan,"Dekat Jembatan, Jl. Manggarai Utara I",-6.21288,106.857309,
VI,Menteng dalam,Tebet,Jakarta Selatan,"Depan Hotel Amaris, Jl. Prof. Supomo",-6.234668,106.844241,
VII,Setiabudi,Setiabudi,Jakarta Selatan,"Chase Building, Jl. Jend. Sudirman",-6.209959,106.821526,Rencana Pembangunan MRT
VII,Setiabudi,Setiabudi,Jakarta Selatan,"Sebrang Hotel Setiabudi, Jl. Setiabudi Barat",-6.21125,106.824075,
VII,Setiabudi,Setiabudi,Jakarta Selatan,Jl. Setiabudi III ,-6.207592,106.826366,
VII,Menteng Atas,Setiabudi,Jakarta Selatan,Jl. Menteng Pulo Pojok Pasar (kb. Cina),-6.221426,106.845311,As Dol
VII,Menteng Atas,Setiabudi,Jakarta Selatan,Jl. Menteng Atas Selatan,-6.220479,106.838257,Fisik Hidran Di Palyja
VII,Menteng Atas,Setiabudi,Jakarta Selatan,"Depan Kantor Lurah, Jl.  Menteng Wadas Timur",-6.209948,106.841793,
VII,Menteng Atas,Setiabudi,Jakarta Selatan,"Depan Rumah No. 10, Jl. Menteng Pulo",-6.221472,106.844173,Macet Ketutup Psr. Darurat
VII,Karet,Setiabudi,Jakarta Selatan,Jl. Jend. Sudirman / Jl. Metropolitan II,-6.214281,106.819017,Rencana Pembangunan MRT
VII,Karet,Setiabudi,Jakarta Selatan,"Dekat RS. AINI, Jl. Karbela Timur",-6.214107,106.82886,Tertutup Warung
VII,Karet,Setiabudi,Jakarta Selatan,"Depan Masjid Babus Salam, Jl. Anggrek Raya",-6.216218,106.824529,
VII,Karet,Setiabudi,Jakarta Selatan,"Depan Rumah No. 48, Jl. Pedurenan Masjid III ",-6.222081,106.825876,
VII,Karet,Setiabudi,Jakarta Selatan,"Jl. Anggrek, Jl. Karbela Raya SD Karet 01",-6.216187,106.822337,As Macet
VII,Karet Kuningan,Setiabudi,Jakarta Selatan,"Depan Kantor HAM, Jl. HR. Rasuna Said",-6.222489,106.832318,
VII,Karet Kuningan,Setiabudi,Jakarta Selatan,"Dekat Diklat Prov, Jl. HR. Rasuna Said",-6.223661,106.832926,
VII,Kuningan Timur,Setiabudi,Jakarta Selatan,"Gd. Indonesia Power, Jl. Gatot Subroto",-6.23697,106.828106,
VII,Kuningan Timur,Setiabudi,Jakarta Selatan,Patra Kuningan RayaJl. HR. Rasuna Said,-6.233685,106.831285,
VII,Kuningan Timur,Setiabudi,Jakarta Selatan,"Depan Dubes Belanda, Jl. HR. Rasuna Said",-6.234675,106.82884,
VII,Kuningan Timur,Setiabudi,Jakarta Selatan,"Depan Crown Plaza, Jl. Jend. Gatot Subroto",-6.222372,106.81466,
VII,Kuningan Timur,Setiabudi,Jakarta Selatan,"Depan Graha Unilever/DPN SCTV, Jl. Gatot Subroto",-6.226759,106.817656,
VII,Guntur,Setiabudi,Jakarta Selatan,"Jl. Kawi Ujung, Jl. Malabar",-6.210476,106.834425,
VII,Guntur,Setiabudi,Jakarta Selatan,"Depan Puskesmas, Jl. Halimun",-6.2069116,106.8337956,Ketutup Warung
VII,Pasar Manggis,Setiabudi,Jakarta Selatan,"Depan PN. Gas, Jl. Minangkabau",-6.21185,106.844226,
VII,Pasar Manggis,Setiabudi,Jakarta Selatan,"Depan Rumah No. 25, Jl. Guntur Dekat / Jl. Muria",-6.20935,106.836249,
VII,Pasar Manggis,Setiabudi,Jakarta Selatan,"Depan Pasar Rumput, Jl. St. Agung",-6.20733,106.841537,
VII,Pasar Manggis,Setiabudi,Jakarta Selatan,"Jl. Minangkabau, Jl. Gadang",-6.210517,106.84479,
VIII,Pengadegan,Pancoran,Jakarta Selatan,"Depan Wisma Harun, Jl. Raya Pasar Minggu",-6.250413,106.8423999,BolaBola Macet
VIII,Pengadegan,Pancoran,Jakarta Selatan,"Jl. Pancoran Timur, Perdatam",-6.249519,106.849722,BolaBola Macet
VIII,Pengadegan,Pancoran,Jakarta Selatan,"Depan Puskesmas, Jl. Pengadegan Timur",-6.251046,106.858452,
VIII,Pancoran,Pancoran,Jakarta Selatan,"Samping Jl. Pertani, Jl. Raya Pasar Minggu, Samping Jl. Pertani",-6.256809,106.843203,Rehab Th. 2010 (Kpl.Macet)
VIII,Pancoran,Pancoran,Jakarta Selatan,"Jl. Duren III, Jl. Potlot II",-6.255241,106.840936,
VIII,Pancoran,Pancoran,Jakarta Selatan,"Dekat Kantor PLN Dekat Masjid, Jl. Duren III",-6.254622,106.833656,
VIII,Pancoran,Pancoran,Jakarta Selatan,"Depan Karya Dekorasi, Jl. Pancoran Barat VI",-6.249977,106.83669,
VIII,Pancoran,Pancoran,Jakarta Selatan,"Depan Bumi Rajawali, Jl. Pancoran Barat II",-6.249459,106.839824,
VIII,Pancoran,Pancoran,Jakarta Selatan,"Dekat Jl. Triloka XII, Jl. Pancoran Barat X",-6.246367,106.838556,
VIII,Rawajati,Pancoran,Jakarta Selatan,"Dekat Mall Kalibata, Jl. Rawa Jati Timur",-6.256305,106.854854,
VIII,Kalibata,Pancoran,Jakarta Selatan,"Depan Askes, Jl. Raya Pasar Minggu",-6.249291,106.84279,
VIII,Cikoko,Pancoran,Jakarta Selatan,"Depan Ditlantas, Jl. MT. Haryono",-6.243409,106.855341,Di Bawa Ke Dinas Kena Flyover
VIII,Cikoko,Pancoran,Jakarta Selatan,"Depan Lembaga Sensor Film, Jl. MT. Haryono",-6.243452,106.850988,Tutup Meteran Hilang
VIII,Cikoko,Pancoran,Jakarta Selatan,"Jl. MT. Haryono Hook, Pancoran Timur",-6.242746,106.843425,Tutup Meteran Hilang
VIII,Duren Tiga,Pancoran,Jakarta Selatan,"Jl. Mampang Prapatan, Jl. Warung Jati Timur",-6.26479,106.833267,
VIII,Duren Tiga,Pancoran,Jakarta Selatan,"Depan Gardu Induk, Jl. Duren Tiga Selatan",-6.258934,106.834724,
IX,Pejaten Timur,Pasar Minggu,Jakarta Selatan,"Komp.Kemuning, Jl. Kalibata Baru, BAKIN",-6.272725,106.847404,
IX,Pejaten Barat,Pasar Minggu,Jakarta Selatan,"Dekat Jl. Siaga II, Jl. Raya Pasar Minggu",-6.276157,106.845891,Rehab. Th. 2010
IX,Pejaten Barat,Pasar Minggu,Jakarta Selatan,"Depan Masjid Pejaten, Jl. Raya Condet Pejaten",-6.278633,106.831476,
IX,Pejaten Barat,Pasar Minggu,Jakarta Selatan,"Depan Rumah Sakit Siaga, Jl. Siaga Raya",-6.272871,106.83876,
IX,Pejaten Barat,Pasar Minggu,Jakarta Selatan,"Depan SMP Sultan Hasanudin, Jl. Warung Jati  Barat",-6.269858,106.830726,
IX,Pejaten Barat,Pasar Minggu,Jakarta Selatan,"Depan Ex SPBU, Jl. Warung Jati  Barat",-6.275081,106.830278,
IX,Pasar Minggu,Pasar Minggu,Jakarta Selatan,"Dekat Rumah Dinas Pejabat DKI, Jl. Pejaten Raya",-6.279753,106.834344,As Dol
IX,Pasar Minggu,Pasar Minggu,Jakarta Selatan,"Depan SD Pejaten Barat, Jl. Raya Condet",-6.276554,106.8308,
IX,Ragunan,Pasar Minggu,Jakarta Selatan,"Depan Diklat PLN, Jl. Harsono RM",-6.300419,106.821137,
IX,Ragunan,Pasar Minggu,Jakarta Selatan,"Kementerian Pertanian, Jl. Harsono RM.",-6.29687,106.821249,
IX,Ragunan,Pasar Minggu,Jakarta Selatan,"Depan Ex Grasindo, Jl. Warung Jati Barat",-6.266077,106.830635,
IX,Ragunan,Pasar Minggu,Jakarta Selatan,"Jl. TB. Simatupang Hook, Jl. Kebagusan",-6.296504,106.827266,Rehab. Th. 2010(As Dol )
IX,Ragunan,Pasar Minggu,Jakarta Selatan,"Hook Komplek Polri, Jl. Ampera",-6.284272,106.819019,
I,,Matraman,Jakarta Timur,"Fuji Film, Jl. Matraman Raya ",-6.199976,106.854288,
I,,Matraman,Jakarta Timur,"Berland, Jl. Matraman Raya ",-6.203631,106.849391,
I,,Matraman,Jakarta Timur,"Sudin Pemadam Kebakaran Jakarta Timur, Jl. Matraman Raya No. 132",-6.209716,106.859594,
I,,Matraman,Jakarta Timur,"Tegalan, Jl. Matraman Raya ",-6.202918,106.85693,
I,,Matraman,Jakarta Timur,"Palad, Jl. Matraman Raya ",-6.218432,106.87578,
I,,Matraman,Jakarta Timur,"Apotik Kimia Farma, Jl. Matraman Raya ",-6.203492,106.857567,
I,,Matraman,Jakarta Timur,"Polsek Matraman, Jl. Matraman Raya ",-6.1999,106.854648,
I,,Matraman,Jakarta Timur,"Depan Pasar Pramuka, Jl. Pramuka",-6.196793,106.857637,
I,,Matraman,Jakarta Timur,"Depan Kantor BPK, Jl. Pramuka",-6.192104,106.871671,
I,,Matraman,Jakarta Timur,"Toko Kertas Mutiara, Jl. Pramuka",-6.195895,106.858958,
I,,Matraman,Jakarta Timur,"Masjid At-Taqwa, Jl. Kayu Manis II",-6.198064,106.861886,
I,,Matraman,Jakarta Timur,"Huk Kayu Manis IV, Jl. Kayu Manis Timur",-6.200942,106.863235,
I,,Matraman,Jakarta Timur,"Depan Kantor Lurah, Jl. Kayu Manis VIII",-6.206506,106.862422,
I,,Matraman,Jakarta Timur,"Huk Kayu Manis VI, Jl. Kayu Manis Timur",-6.203414,106.864101,
I,,Matraman,Jakarta Timur,"Depan Rumah No. 27, Jl. Kayu Manis VIII",-6.206419,106.863252,
I,,Matraman,Jakarta Timur,"Huk Jl. Kayu Manis VII Samping DWN, Jl. Kayu Manis Barat Raya",-6.204785,106.863334,
I,,Matraman,Jakarta Timur,"Huk Jl. Kayu Manis III Rumah No. 9, Jl. Kayu Manis Barat Raya",-6.199986,106.859882,
I,,Matraman,Jakarta Timur,"Huk Jl. Jarak, Jl. Kayu Manis Barat Raya",-6.20404,106.861036,
I,,Matraman,Jakarta Timur,"Depan SMU Negeri 31, Jl. Kayu Manis Timur Raya",-6.202675,106.863834,
I,,Matraman,Jakarta Timur,"Huk Jl. Kayu Manis VIII, Jl. Kayu Manis Barat Raya",-6.20639,106.861687,
I,,Matraman,Jakarta Timur,"Hotel Saleh, Jl. Utan Kayu",-6.19364,106.867085,
I,,Matraman,Jakarta Timur,"Huk Jl. Nangka, Jl. Utan Kayu",-6.196265,106.871045,
I,,Matraman,Jakarta Timur,"Huk Jl. Pisangan Baru III, Jl. Pisangan Baru Tengah ",-6.211505,106.867788,
I,,Matraman,Jakarta Timur,Jl. Kebun Kelapa Tinggi (Jl. Pisangan Baru Utara),-6.208472,106.869878,
I,,Matraman,Jakarta Timur,"Klinik Rumah Bersalin, Jl. Pisangan Baru  III ",-6.212302,106.867791,
I,,Matraman,Jakarta Timur,"Huk Gg. BI Rumah No. 16, Jl. Pisangan Baru Tengah ",-6.211242,106.87175,
I,,Matraman,Jakarta Timur,Huk Jl. Pisangan Baru II Alfamart (Jl. Pisangan Baru Tengah),-6.211441,106.869834,
I,,Matraman,Jakarta Timur,Huk Jl. Kayu Manis X Pos RW002 (Jl. Pisangan Baru Tengah II),-6.209393,106.862483,
I,,Matraman,Jakarta Timur,"Depan Masjid Mujahidin, Jl. Kelapa Sawit Raya",-6.206781,106.86553,
I,,Matraman,Jakarta Timur,"Jl. Pandan, Depan SDN (Jl. Mojokerto)",-6.20476,106.867224,
I,,Matraman,Jakarta Timur,"Depan Kelurahan Kebun Manggis, Jl. Selamet Riyadi",-6.210915,106.858347,
II,,Pulogadung,Jakarta Timur,"PT. HOESCHET, Jl. Pulo Mas Utara",-6.168939 ,106.878678,
II,,Pulogadung,Jakarta Timur,"RS. ONGKO MULYO, Jl. Pulo Mas Barat VIII",-6.179944,106.883819,
II,,Pulogadung,Jakarta Timur,"Depan Dr. Gigi, Jl. Pulo Mas Barat  ",-6.179944,106.883819,
II,,Pulogadung,Jakarta Timur,"Depan Masjid DA'ABUT TAOBAH, Jl. Pulo Mas Timur II  ",-6.175595,106.883492,
II,,Pulogadung,Jakarta Timur,"Huk Pulo Mas Barat VI, Jl. Pulo Mas Timur",-6.180375,106.884928,
II,,Pulogadung,Jakarta Timur,"Pos Pemadam Pulo Mas, Jl. Pulo Mas Barat VI ",-6.179415,106.88085,
II,,Pulogadung,Jakarta Timur,"Depan Rumah No. 69, Jl. Pondasi Pulo Mas  ",-6.188405,106.884996,
II,,Pulogadung,Jakarta Timur,"TK REGINA, Jl. Kayu Putih Raya ",-6.188216,106.890957,
II,,Pulogadung,Jakarta Timur,"Depan ASMI, Jl. Pacuan Kuda Pulo Mas",-6.174057 ,106.887973,
II,,Pulogadung,Jakarta Timur,"Rumah Susun, Jl. Kayu Putih Raya",-6.177106 ,106.893338,
II,,Pulogadung,Jakarta Timur,Jl. Kayu Putih Tengah I,-6.183765,106.893348,
II,,Pulogadung,Jakarta Timur,Jl. Kayu Putih Tengah III,-6.183907,106.895658,
II,,Pulogadung,Jakarta Timur,Jl. Kayu Putih Utara III,-6.183884 ,106.895596,
II,,Pulogadung,Jakarta Timur,Huk Kayu Putih Timur,-6.187401 ,106.898024,
II,,Pulogadung,Jakarta Timur,"Depan Polsek Kayu Putih, Jl. Kayu Putih",-6.185075 ,106.890899,
II,,Pulogadung,Jakarta Timur,"Depan Kantor Perparkiran, Jl. Kayu Putih Selatan V",-6.185646,106.893555,
II,,Pulogadung,Jakarta Timur,"Huk Kayu Putih Tengah 2, Sebrang Pasar Bidadari, Jl. Kayu Putih II",-6.182065 ,106.893722,
II,,Pulogadung,Jakarta Timur,"Samping Kelurahan Pulo Gadung, Jl. Kayu Putih Selatan IV",-6.185646,106.893555,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Kayu Putih 3 SDN 7,8,9,10, (Jl. Kayu Putih I)",-6.181522,106.895679,
II,,Pulogadung,Jakarta Timur,"SMA Franciskus, Jl. Bangunan Pulo Mas",-6.185116,106.881026,
II,,Pulogadung,Jakarta Timur,"Depan PeRumahan Bulog, Jl. H. Ten Pulo Mas",-6.188963,106.876986,
II,,Pulogadung,Jakarta Timur,"Depan SMU 21, Jl. Sirap Pulo Mas",-6.184381 ,106.886848,
II,,Pulogadung,Jakarta Timur,"Depan Rumah B No.17, Poli Klinik Karya Bakti, Jl. Kayu Mas Timur",-6.183267,106.903831,
II,,Pulogadung,Jakarta Timur,"Depan Rumah No. 308 Blok V, Jl. Kayu Mas Utara Raya",-6.180444,106.900214,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Pemuda Portal Room Hino, (Jl. Pulo Asem Raya)",-6.193074,106.894556,
II,,Pulogadung,Jakarta Timur,"Depan Rumah RT006/RW004 Toserba Berah, Jl. Pulo Asem Timur X",-6.190244,106.897377,
II,,Pulogadung,Jakarta Timur,"Huk Pulo Asem X Pos RW012, Jl. Pulo Asem Timur  ",-6.188425,106.897025,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Pulo Asem Timur Jati Anom, Jl. Pulo Asem Timur  ",-6.188425,106.897025,
II,,Pulogadung,Jakarta Timur,"Taman Depan Rumah No. 58, Jl. Taman Pulo Asem Utara",-6.191083,106.891974,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Layur, Jl. Pemuda",-6.193716,106.898752,
II,,Pulogadung,Jakarta Timur,"Depan Gedung LAPAN, Jl. Pemuda",-6.193541,106.889658,
II,,Pulogadung,Jakarta Timur,"Depan Kantor Sektor II Kecamatan Pulo Gadung, Jl. Pemuda",-6.193541,106.889658,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Pemuda, (Jl. Balap Sepeda)",-6.193110 ,106.891289,
II,,Pulogadung,Jakarta Timur,"SD 03 Pagi, Jl. H. TEN  ",-6.188769,106.880358,
II,,Pulogadung,Jakarta Timur,"Depan Matahari, Jl. Paus Rawamangun",-6.193699 ,106.890508,
II,,Pulogadung,Jakarta Timur,"Depan Pasar Sunan Giri, Jl. Sunan Giri Rawamangun",-6.195945,106.883156,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Sunan Giri, Jl. Balai Pustaka Barat Rawamangun",-6.196845,106.882834,
II,,Pulogadung,Jakarta Timur,"Depan Rumah Sakit Persahabatan, Jl. Wisma Jaya Rawamangun",-6.202126,106.882741,
II,,Pulogadung,Jakarta Timur,"Apotik Melawai, Jl. Balai Pustaka Rawamangun",-6.201135,106.885905,
II,,Pulogadung,Jakarta Timur,"Depan HKBP, Jl. Balai Pustaka Rawamangun",-6.196274,106.886002,
II,,Pulogadung,Jakarta Timur,"Sebelah Lampu Merah, Jl. Pengambiran Rawamangun",-6.201823,106.890257,
II,,Pulogadung,Jakarta Timur,"Dekat Fitnes POLRI, Jl. Persahabatan Timur, Rwmangun",-6.206683,106.886013,
II,,Pulogadung,Jakarta Timur,"Depan RS Persahabatan, Jl. Persahabatan Rawamangun",-6.202198,106.884956,
II,,Pulogadung,Jakarta Timur,"Depan Sekolah Perawat RS. Persahabatan, Jl. Persahabatan Rawamangun",-6.205091,106.885914,
II,,Pulogadung,Jakarta Timur,"Depan SMU Negeri 36 Jakarta, Jl. Layur Rawamangun",-6.199329,106.899107,
II,,Pulogadung,Jakarta Timur,"Jl. Rawamangun Selatan I, Jl. Rawamangun Muka Selatan  ",-6.200644,106.880029,
II,,Pulogadung,Jakarta Timur,"Huk Rawamangun Muka I, Jl. Rawamangun Muka Barat",-6.198819 ,106.881130,
II,,Pulogadung,Jakarta Timur,"Huk Rawamangun IV, Jl. Rawamangun Muka Timur  ",-6.200157 ,106.882361,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Berantas, Jl. Tenggiri SMK Negeri 67 Jakarta",-6.197982,106.891977,
II,,Pulogadung,Jakarta Timur,"Huk Rumah No. 35, Jl. Sedayu Rawamangun",-6.197145,106.893909,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Pemuda, Jl. Sunan Derajat Rawamangun",-6.193799,106.895065,
II,,Pulogadung,Jakarta Timur,"Jl. Duyung / Cingkalang, Jl. Sunan Derajat Rawamangun",-6.193799,106.895065,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Tongkol, Jl. Layur Rawamangun",-6.197791,106.895266,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Lumba - Lumba, Jl. Tawes Rawamangun",-6.200389,106.89562,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Gurame, Jl. Tongkol Rawamangun",-6.197791,106.895266,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Rawamangun Muka I, Jl. Rawamangun Muka Timur",-6.197062,106.881913,
II,,Pulogadung,Jakarta Timur,"Jl. Lodan SD 01 Pagi, Jl. Kakap Rawamangun",-6.195756,106.896902,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Lodan Rumah No. 26, Jl. Sunan Derajat  ",-6.19589,106.895021,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Rawamangun Muka II Ex Kantor Kelurahan, Jl. Rawamangun Barat",-6.200928 ,106.881841,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Tawes, Jl. Tenggiri",-6.200389,106.89562,
II,,Pulogadung,Jakarta Timur,"Jl. Gedung Logistik POLRI, Jl. Raya Bekasi Timur",-6.211793 ,106.888797,
II,,Pulogadung,Jakarta Timur,"Depan Komplek AKABRI, Jl. Raya Bekasi Timur",-6.211793 ,106.888797,
II,,Pulogadung,Jakarta Timur,"Depan Pool HIBA, Jl. Raya Bekasi",-6.205865,106.902721,
II,,Pulogadung,Jakarta Timur,"Depan Pool ALS, Jl. Raya Bekasi",-6.195268 ,106.905279,
II,,Pulogadung,Jakarta Timur,"Jl. Palad Pasar Pulogadung, Jl. Raya Bekasi",-6.186705,106.905706,
II,,Pulogadung,Jakarta Timur,"Depan SPBU Pasar Klender, Jl. Raya Bekasi",-6.212757,106.900284,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Jatinegara Kaum, Jl. Raya Bekasi",-6.202856,106.904042,
II,,Pulogadung,Jakarta Timur,"Mustika Jaya, Jl. Balai Pustaka Barat",-6.200012,106.883119,
II,,Pulogadung,Jakarta Timur,"Depan Satuan Musik POLRI, Jl. Cipinang Baru",-6.207047,106.890227,
II,,Pulogadung,Jakarta Timur,Jl. Cipinang Kebembem I Rumah No. 40,-6.209755 ,106.884705,
II,,Pulogadung,Jakarta Timur,"Masjid Nurul Iman, Jl. Cipinang Baru Bunder",-6.206540,106.888897,
II,,Pulogadung,Jakarta Timur,"Pasar Induk Beras Cipinang, Jl. Cipinang Kebembem",-6.213607,106.881419,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Persahabatan, Jl. Cipinang Baru Bunder",-6.206683,106.886013,
II,,Pulogadung,Jakarta Timur,"Posko PDIP, Jl. Cipinang Kebembem I",-6.214672,106.875604,
II,,Pulogadung,Jakarta Timur,"Samping Kantor RW012, Jl. Cipinang Kebembem Raya IV",-6.210695,106.884063,
II,,Pulogadung,Jakarta Timur,"Depan Pasar Enjo, Jl. Cipinang Kebembem I",-6.214672,106.875604,
II,,Pulogadung,Jakarta Timur,"Depan Pasar Enjo, Jl. Pisangan Lama III",-6.209780 ,106.878732,
II,,Pulogadung,Jakarta Timur,Huk Jl. Pisangan Lama III,-6.213811,106.878826,
II,,Pulogadung,Jakarta Timur,"Huk Jl. H. Mughni Kantor Lurah, Jl. Pisangan Lama III",-6.207619 ,106.878674,
II,,Pulogadung,Jakarta Timur,"Sebelah BANK DANAMON, Jl. Pisangan Lama III, Jl. Pisangan Lama III",-6.207068,106.878636,
II,,Pulogadung,Jakarta Timur,"Jl. Jaksa, Jl. Pisangan Lama III",-6.213322 ,106.878842,
II,,Pulogadung,Jakarta Timur,"Jl. Kebembem RT006/RW010 No. 17, Jl. Pisangan Lama II",-6.213322 ,106.878842,
II,,Pulogadung,Jakarta Timur,"Depan Kelurahan Rawamangun, Jl. Rawamangun Muka ",-6.198893,106.881091,
II,,Pulogadung,Jakarta Timur,"Depan Kantor Induk PLN, Jl. Rawamangun Muka ",-6.198866,106.885977,
II,,Pulogadung,Jakarta Timur,"Depan Rumah Makan Pagi Dan Sore, Jl. Rawamangun Muka Timur",-6.197062,106.881913,
II,,Pulogadung,Jakarta Timur,"Depan Toko Material, Jl. Rawamangun Muka Timur",-6.200337,106.882327,
II,,Pulogadung,Jakarta Timur,"Depan Rumah No. 338 B, Jl. Balai Pustaka Barat",-6.200012,106.883119,
II,,Pulogadung,Jakarta Timur,"Depan Rumah Makan Pondok Rawamagun, Jl. Sunan Giri",-6.196625 ,106.882902,
II,,Pulogadung,Jakarta Timur,"Depan Toko Baju Muslim Rabbani, Jl. Pemuda Raya",-6.192816 ,106.884205,
II,,Pulogadung,Jakarta Timur,"Depan SMK 7 Rawamangun, Jl. Tenggiri",-6.197982,106.891977,
II,,Pulogadung,Jakarta Timur,"Depan Indomaret, Jl. Raya Bekasi Timur",-6.211793 ,106.888797,
II,,Pulogadung,Jakarta Timur,"Huk Jl. Pemuda, Jl. Layur Rawamangun",-6.193716,106.898752,
II,,Pulogadung,Jakarta Timur,"SDN 03 / 04 Jati, Jl. Pulo Asem Timur Raya",-6.190635,106.89427,
III,,Cakung,Jakarta Timur,"Depan apotik Khaudi Farma, Optik Safari, Jl. Rajiman  ",-6.204396,106.92276,
III,,Cakung,Jakarta Timur,"PT. Yamaha Motor, Jl. Rajiman  ",-6.19091,106.923217,
